train_ratio,val_split,macd_fast,macd_slow,macd_signal,rsi_length,rsi_scalar,rsi_drift,MAE,RMSE,Closeness,model_filename
0.8,0.19999999999999996,8,17,5,10,100,1,0.3147198600023035,0.33168516324397856,0.31626157771545893,ratio_80__macd_8_17_5__rsi_10_100_1.h5
0.8,0.19999999999999996,8,17,5,10,100,2,0.3128454446396995,0.32788175092261224,0.3149676235768258,ratio_80__macd_8_17_5__rsi_10_100_2.h5
0.8,0.19999999999999996,8,17,5,14,100,1,0.29073207667880185,0.30520970612132725,0.2942803444758338,ratio_80__macd_8_17_5__rsi_14_100_1.h5
0.8,0.19999999999999996,8,17,5,14,100,2,0.3000688018534964,0.3157661819386807,0.3025748444874847,ratio_80__macd_8_17_5__rsi_14_100_2.h5
0.8,0.19999999999999996,8,17,9,10,100,1,0.2462441174313329,0.25689613374970593,0.2588860625641539,ratio_80__macd_8_17_9__rsi_10_100_1.h5
0.8,0.19999999999999996,8,17,9,10,100,2,0.3060725149988871,0.32186792341124065,0.30817634815632106,ratio_80__macd_8_17_9__rsi_10_100_2.h5
0.8,0.19999999999999996,8,17,9,14,100,1,0.2910789320880476,0.3048390955517316,0.29486133598653996,ratio_80__macd_8_17_9__rsi_14_100_1.h5
0.8,0.19999999999999996,8,17,9,14,100,2,0.2943734586573525,0.30908922826270985,0.29744487589065716,ratio_80__macd_8_17_9__rsi_14_100_2.h5
0.8,0.19999999999999996,8,26,5,10,100,1,0.29836560838843346,0.31434730151932677,0.30086323644960766,ratio_80__macd_8_26_5__rsi_10_100_1.h5
0.8,0.19999999999999996,8,26,5,10,100,2,0.31807700815860135,0.33453714896138537,0.3195657776354044,ratio_80__macd_8_26_5__rsi_10_100_2.h5
0.8,0.19999999999999996,8,26,5,14,100,1,0.32139324308469386,0.3373165492075627,0.3229741601675159,ratio_80__macd_8_26_5__rsi_14_100_1.h5
0.8,0.19999999999999996,8,26,5,14,100,2,0.3409668104124616,0.3586560390392744,0.34166042403702357,ratio_80__macd_8_26_5__rsi_14_100_2.h5
0.8,0.19999999999999996,8,26,9,10,100,1,0.3362755546417863,0.3533039448580037,0.33709761451645887,ratio_80__macd_8_26_9__rsi_10_100_1.h5
0.8,0.19999999999999996,8,26,9,10,100,2,0.33316737979601535,0.3500863218819437,0.33409993363579477,ratio_80__macd_8_26_9__rsi_10_100_2.h5
0.8,0.19999999999999996,8,26,9,14,100,1,0.34307627231383453,0.3616356828367208,0.3435880099694286,ratio_80__macd_8_26_9__rsi_14_100_1.h5
0.8,0.19999999999999996,8,26,9,14,100,2,0.3344107331670821,0.3526882846764272,0.335142580899547,ratio_80__macd_8_26_9__rsi_14_100_2.h5
0.8,0.19999999999999996,12,17,5,10,100,1,0.2580441796489236,0.2701971015114928,0.266465927165633,ratio_80__macd_12_17_5__rsi_10_100_1.h5
0.8,0.19999999999999996,12,17,5,10,100,2,0.2670586860136524,0.28094020787601354,0.2729152587177887,ratio_80__macd_12_17_5__rsi_10_100_2.h5
0.8,0.19999999999999996,12,17,5,14,100,1,0.32499838401127545,0.34232520813605155,0.3262845554255668,ratio_80__macd_12_17_5__rsi_14_100_1.h5
0.8,0.19999999999999996,12,17,5,14,100,2,0.2739836771414621,0.2883747792617123,0.28035285489617207,ratio_80__macd_12_17_5__rsi_14_100_2.h5
0.8,0.19999999999999996,12,17,9,10,100,1,0.3124533952990544,0.3276142606316491,0.3145547136384273,ratio_80__macd_12_17_9__rsi_10_100_1.h5
0.8,0.19999999999999996,12,17,9,10,100,2,0.3142998504396517,0.32986954282858316,0.3163169573917127,ratio_80__macd_12_17_9__rsi_10_100_2.h5
0.8,0.19999999999999996,12,17,9,14,100,1,0.30038270784280624,0.31445095634744585,0.3034649510528823,ratio_80__macd_12_17_9__rsi_14_100_1.h5
0.8,0.19999999999999996,12,17,9,14,100,2,0.30974388408363496,0.3250859837727301,0.3118243581292945,ratio_80__macd_12_17_9__rsi_14_100_2.h5
0.8,0.19999999999999996,12,26,5,10,100,1,0.3315091830338226,0.348468211547236,0.3324538562759689,ratio_80__macd_12_26_5__rsi_10_100_1.h5
0.8,0.19999999999999996,12,26,5,10,100,2,0.3477962415798508,0.3660143510034746,0.3482956751822793,ratio_80__macd_12_26_5__rsi_10_100_2.h5
0.8,0.19999999999999996,12,26,5,14,100,1,0.32113343300104297,0.33740494839576474,0.3224251383320098,ratio_80__macd_12_26_5__rsi_14_100_1.h5
0.8,0.19999999999999996,12,26,5,14,100,2,0.34702630089459613,0.3646621162998081,0.34752176617020175,ratio_80__macd_12_26_5__rsi_14_100_2.h5
0.8,0.19999999999999996,12,26,9,10,100,1,0.3299797129591785,0.3461462221982289,0.3310825541433153,ratio_80__macd_12_26_9__rsi_10_100_1.h5
0.8,0.19999999999999996,12,26,9,10,100,2,0.345475874449926,0.36280595266167764,0.34616166589342967,ratio_80__macd_12_26_9__rsi_10_100_2.h5
0.8,0.19999999999999996,12,26,9,14,100,1,0.33794774421283563,0.3556893835970004,0.3385995741444276,ratio_80__macd_12_26_9__rsi_14_100_1.h5
0.8,0.19999999999999996,12,26,9,14,100,2,0.3373952515341662,0.3551975617883464,0.33808309953662563,ratio_80__macd_12_26_9__rsi_14_100_2.h5
0.7,0.30000000000000004,8,17,5,10,100,1,0.37475189296896666,0.4147533541016907,0.37477200774051794,ratio_70__macd_8_17_5__rsi_10_100_1.h5
0.7,0.30000000000000004,8,17,5,10,100,2,0.10051786102403316,0.1239378636647696,0.2362312058207995,ratio_70__macd_8_17_5__rsi_10_100_2.h5
0.7,0.30000000000000004,8,17,5,14,100,1,0.4037737602993122,0.4466546228212097,0.4037737602993122,ratio_70__macd_8_17_5__rsi_14_100_1.h5
0.7,0.30000000000000004,8,17,5,14,100,2,0.34752883736312096,0.38444584743533233,0.34836204780722013,ratio_70__macd_8_17_5__rsi_14_100_2.h5
0.7,0.30000000000000004,8,17,9,10,100,1,0.37589702414611176,0.4156278258245248,0.3759052065836874,ratio_70__macd_8_17_9__rsi_10_100_1.h5
0.7,0.30000000000000004,8,17,9,10,100,2,0.3547652175478918,0.39279384282707913,0.35513276365977225,ratio_70__macd_8_17_9__rsi_10_100_2.h5
0.7,0.30000000000000004,8,17,9,14,100,1,0.2576960832292219,0.28533488047579486,0.28070264777362597,ratio_70__macd_8_17_9__rsi_14_100_1.h5
0.7,0.30000000000000004,8,17,9,14,100,2,0.3808717513917231,0.4215131028270948,0.3808731771727599,ratio_70__macd_8_17_9__rsi_14_100_2.h5
0.7,0.30000000000000004,8,26,5,10,100,1,0.38659496067295146,0.42821814807937836,0.38659496067295135,ratio_70__macd_8_26_5__rsi_10_100_1.h5
0.7,0.30000000000000004,8,26,5,10,100,2,0.3950412016671605,0.4354610604969863,0.3950412016671604,ratio_70__macd_8_26_5__rsi_10_100_2.h5
0.7,0.30000000000000004,8,26,5,14,100,1,0.28323980988099756,0.3122267253846039,0.29826684695044814,ratio_70__macd_8_26_5__rsi_14_100_1.h5
0.7,0.30000000000000004,8,26,5,14,100,2,0.3411941103660604,0.3778025515949396,0.3424643310342312,ratio_70__macd_8_26_5__rsi_14_100_2.h5
0.7,0.30000000000000004,8,26,9,10,100,1,0.39366377361441296,0.4349317938689887,0.393663773614413,ratio_70__macd_8_26_9__rsi_10_100_1.h5
0.7,0.30000000000000004,8,26,9,10,100,2,0.3580570657695432,0.3958353471330986,0.3583237140503896,ratio_70__macd_8_26_9__rsi_10_100_2.h5
0.7,0.30000000000000004,8,26,9,14,100,1,0.38411404112494074,0.42343829751410017,0.3841175078434216,ratio_70__macd_8_26_9__rsi_14_100_1.h5
0.7,0.30000000000000004,8,26,9,14,100,2,0.2343825710601685,0.2598906913536451,0.26863518795852886,ratio_70__macd_8_26_9__rsi_14_100_2.h5
0.7,0.30000000000000004,12,17,5,10,100,1,0.37082253549058586,0.40966675430942595,0.3708719518304853,ratio_70__macd_12_17_5__rsi_10_100_1.h5
0.7,0.30000000000000004,12,17,5,10,100,2,0.4299911399146709,0.47467492671742245,0.42999113991467086,ratio_70__macd_12_17_5__rsi_10_100_2.h5
0.7,0.30000000000000004,12,17,5,14,100,1,0.3464510898314094,0.38306440272260056,0.3471549747721488,ratio_70__macd_12_17_5__rsi_14_100_1.h5
0.7,0.30000000000000004,12,17,5,14,100,2,0.3715641042394941,0.41095208498614,0.37161666022170936,ratio_70__macd_12_17_5__rsi_14_100_2.h5
0.7,0.30000000000000004,12,17,9,10,100,1,0.4029878008101273,0.44488316754150975,0.4029878008101273,ratio_70__macd_12_17_9__rsi_10_100_1.h5
0.7,0.30000000000000004,12,17,9,10,100,2,0.22327967032794171,0.24975593810816477,0.2616828505161339,ratio_70__macd_12_17_9__rsi_10_100_2.h5
0.7,0.30000000000000004,12,17,9,14,100,1,0.3954439184807842,0.437087163261661,0.3954439184807842,ratio_70__macd_12_17_9__rsi_14_100_1.h5
0.7,0.30000000000000004,12,17,9,14,100,2,0.30226221686436244,0.33472375903868434,0.31027436814475995,ratio_70__macd_12_17_9__rsi_14_100_2.h5
